variable,valor,frecuencia
Fence,MnPrv,157
Fence,GdPrv,59
Fence,GdWo,54
Fence,MnWw,11
MiscFeature,Shed,49
MiscFeature,Gar2,2
MiscFeature,Othr,2
MiscFeature,TenC,1
SaleType,WD,1267
SaleType,New,122
SaleType,COD,43
SaleType,ConLD,9
SaleType,ConLI,5
SaleType,ConLw,5
SaleType,CWD,4
SaleType,Oth,3
SaleType,Con,2
SaleCondition,Normal,1198
SaleCondition,Partial,125
SaleCondition,Abnorml,101
SaleCondition,Family,20
SaleCondition,Alloca,12
SaleCondition,AdjLand,4
