Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,Fence,MoSold,YrSold,SaleCondition,SalePrice
11,20,RL,70.0,11200.0,Reg,Inside,Sawyer,1Fam,1Story,5,5,1965.0,1965,Hip,HdBoard,HdBoard,NA,0.0,TA,CBlock,TA,No,Rec,906.0,134.0,1040.0,Ex,1040.0,0.0,1040.0,1,1,0,3,TA,5,0,NA,Detchd,1965.0,Unf,1,384.0,0.0,0.0,NA,2,2008,Normal,129500
12,60,RL,85.0,11924.0,IR1,Inside,NridgHt,1Fam,2Story,9,5,2005.0,2006,Hip,WdShing,Wd Shng,Stone,286.0,Ex,PConc,Ex,No,GLQ,998.0,177.0,1175.0,Ex,1182.0,1142.0,2324.0,1,3,0,4,Ex,11,2,Gd,BuiltIn,2005.0,Fin,3,736.0,147.0,21.0,NA,7,2006,Partial,345000
13,20,RL,NA,12968.0,IR2,Inside,Sawyer,1Fam,1Story,5,6,1962.0,1962,Hip,HdBoard,Plywood,NA,0.0,TA,CBlock,TA,No,ALQ,737.0,175.0,912.0,TA,912.0,0.0,912.0,1,1,0,2,TA,4,0,NA,Detchd,1962.0,Unf,1,352.0,140.0,0.0,NA,9,2008,Normal,144000
14,20,RL,91.0,10652.0,IR1,Inside,CollgCr,1Fam,1Story,7,5,2006.0,2007,Gable,VinylSd,VinylSd,Stone,306.0,Gd,PConc,Gd,Av,Unf,0.0,1494.0,1494.0,Ex,1494.0,0.0,1494.0,0,2,0,3,Gd,7,1,Gd,Attchd,2006.0,RFn,3,840.0,160.0,33.0,NA,8,2007,Partial,279500
15,20,RL,NA,10920.0,IR1,Corner,NAmes,1Fam,1Story,6,5,1960.0,1960,Hip,MetalSd,MetalSd,BrkFace,212.0,TA,CBlock,TA,No,BLQ,733.0,520.0,1253.0,TA,1253.0,0.0,1253.0,1,1,1,2,TA,5,1,Fa,Attchd,1960.0,RFn,1,352.0,0.0,213.0,GdWo,5,2008,Normal,157000
16,45,RM,51.0,6120.0,Reg,Corner,BrkSide,1Fam,Otro,7,8,1929.0,2001,Gable,Wd Sdng,Wd Sdng,NA,0.0,TA,BrkTil,TA,No,Unf,0.0,832.0,832.0,Ex,854.0,0.0,854.0,0,1,0,2,TA,5,0,NA,Detchd,1991.0,Unf,2,576.0,48.0,112.0,GdPrv,7,2007,Normal,132000
17,20,RL,NA,11241.0,IR1,CulDSac,NAmes,1Fam,1Story,6,7,1970.0,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,CBlock,TA,No,ALQ,578.0,426.0,1004.0,Ex,1004.0,0.0,1004.0,1,1,0,2,TA,5,1,TA,Attchd,1970.0,Fin,2,480.0,0.0,0.0,NA,3,2010,Normal,149000
18,90,RL,72.0,10791.0,Reg,Inside,Sawyer,Duplex,1Story,4,5,1967.0,1967,Gable,MetalSd,MetalSd,NA,0.0,TA,Slab,NA,NA,NA,0.0,0.0,0.0,TA,1296.0,0.0,1296.0,0,2,0,2,TA,6,0,NA,Otro,1967.0,Unf,2,516.0,0.0,0.0,NA,10,2006,Normal,90000
19,20,RL,66.0,13695.0,Reg,Inside,SawyerW,1Fam,1Story,5,5,2004.0,2004,Gable,VinylSd,VinylSd,NA,0.0,TA,PConc,TA,No,GLQ,646.0,468.0,1114.0,Ex,1114.0,0.0,1114.0,1,1,1,3,Gd,6,0,NA,Detchd,2004.0,Unf,2,576.0,0.0,102.0,NA,6,2008,Normal,159000
20,20,RL,70.0,7560.0,Reg,Inside,NAmes,1Fam,1Story,5,6,1958.0,1965,Hip,BrkFace,Plywood,NA,0.0,TA,CBlock,TA,No,LwQ,504.0,525.0,1029.0,TA,1339.0,0.0,1339.0,0,1,0,3,TA,6,0,NA,Attchd,1958.0,Unf,1,294.0,0.0,0.0,MnPrv,5,2009,Abnorml,139000
21,60,RL,101.0,14215.0,IR1,Corner,NridgHt,1Fam,2Story,8,5,2005.0,2006,Gable,VinylSd,VinylSd,BrkFace,380.0,Gd,PConc,Ex,Av,Unf,0.0,1158.0,1158.0,Ex,1158.0,1218.0,2376.0,0,3,1,4,Gd,9,1,Gd,BuiltIn,2005.0,RFn,3,853.0,240.0,154.0,NA,11,2006,Partial,325300
22,45,RM,57.0,7449.0,Reg,Inside,IDOTRR,1Fam,Otro,7,7,1930.0,1950,Gable,Wd Sdng,Wd Sdng,NA,0.0,TA,PConc,TA,No,Unf,0.0,637.0,637.0,Ex,1108.0,0.0,1108.0,0,1,0,3,Gd,6,1,Gd,Attchd,1930.0,Unf,1,280.0,0.0,0.0,GdPrv,6,2007,Normal,139400
23,20,RL,75.0,9742.0,Reg,Inside,CollgCr,1Fam,1Story,8,5,2002.0,2002,Hip,VinylSd,VinylSd,BrkFace,281.0,Gd,PConc,Gd,No,Unf,0.0,1777.0,1777.0,Ex,1795.0,0.0,1795.0,0,2,0,3,Gd,7,1,Gd,Attchd,2002.0,RFn,2,534.0,171.0,159.0,NA,9,2008,Normal,230000
24,120,RM,44.0,4224.0,Reg,Inside,MeadowV,TwnhsE,1Story,5,7,1976.0,1976,Gable,CemntBd,CmentBd,NA,0.0,TA,PConc,Gd,No,GLQ,840.0,200.0,1040.0,TA,1060.0,0.0,1060.0,1,1,0,3,TA,6,1,TA,Attchd,1976.0,Unf,2,572.0,100.0,110.0,NA,6,2007,Normal,129900
25,20,RL,NA,8246.0,IR1,Inside,Sawyer,1Fam,1Story,5,8,1968.0,2001,Gable,Plywood,Plywood,NA,0.0,TA,CBlock,TA,Mn,Rec,188.0,204.0,1060.0,Ex,1060.0,0.0,1060.0,1,1,0,3,Gd,6,1,TA,Attchd,1968.0,Unf,1,270.0,406.0,90.0,MnPrv,5,2010,Normal,154000
26,20,RL,110.0,14230.0,Reg,Corner,NridgHt,1Fam,1Story,8,5,2007.0,2007,Gable,VinylSd,VinylSd,Stone,640.0,Gd,PConc,Gd,No,Unf,0.0,1566.0,1566.0,Ex,1600.0,0.0,1600.0,0,2,0,3,Gd,7,1,Gd,Attchd,2007.0,RFn,3,890.0,0.0,56.0,NA,7,2009,Normal,256300
27,20,RL,60.0,7200.0,Reg,Corner,NAmes,1Fam,1Story,5,7,1951.0,2000,Gable,Wd Sdng,Wd Sdng,NA,0.0,TA,CBlock,TA,Mn,BLQ,234.0,180.0,900.0,TA,900.0,0.0,900.0,0,1,0,3,Gd,5,0,NA,Detchd,2005.0,Unf,2,576.0,222.0,32.0,NA,5,2010,Normal,134800
28,20,RL,98.0,11478.0,Reg,Inside,NridgHt,1Fam,1Story,8,5,2007.0,2008,Gable,VinylSd,VinylSd,Stone,200.0,Gd,PConc,Ex,No,GLQ,1218.0,486.0,1704.0,Ex,1704.0,0.0,1704.0,1,2,0,3,Gd,7,1,Gd,Attchd,2008.0,RFn,3,772.0,0.0,50.0,NA,5,2010,Normal,306000
29,20,RL,47.0,16321.0,IR1,CulDSac,NAmes,1Fam,1Story,5,6,1957.0,1997,Gable,MetalSd,MetalSd,NA,0.0,TA,CBlock,TA,Gd,BLQ,1277.0,207.0,1484.0,TA,1600.0,0.0,1600.0,1,1,0,2,TA,6,2,Gd,Attchd,1957.0,RFn,1,319.0,288.0,258.0,NA,12,2006,Normal,207500
30,30,RM,60.0,6324.0,IR1,Inside,BrkSide,1Fam,1Story,4,6,1927.0,1950,Gable,MetalSd,MetalSd,NA,0.0,TA,BrkTil,TA,No,Unf,0.0,520.0,520.0,Fa,520.0,0.0,692.6637999999999,0,1,0,1,Fa,4,0,NA,Detchd,1920.0,Unf,1,240.0,49.0,0.0,NA,5,2008,Normal,68500
31,70,Otro,50.0,8500.0,Reg,Inside,IDOTRR,1Fam,2Story,4,4,1920.0,1950,Otro,BrkFace,BrkFace,NA,0.0,TA,BrkTil,TA,No,Unf,0.0,649.0,649.0,TA,649.0,668.0,1317.0,0,1,0,3,TA,6,0,NA,Detchd,1920.0,Unf,1,250.0,0.0,54.0,MnPrv,7,2008,Normal,40000
32,20,RL,NA,8544.0,IR1,CulDSac,Sawyer,1Fam,1Story,5,6,1966.0,2006,Gable,HdBoard,HdBoard,NA,0.0,TA,CBlock,TA,No,Unf,0.0,1228.0,1228.0,Gd,1228.0,0.0,1228.0,0,1,1,3,Gd,6,0,NA,Attchd,1966.0,Unf,1,271.0,0.0,65.0,MnPrv,6,2008,Normal,149350
33,20,RL,85.0,11049.0,Reg,Corner,CollgCr,1Fam,1Story,8,5,2007.0,2007,Gable,VinylSd,VinylSd,NA,0.0,Gd,PConc,Ex,Av,Unf,0.0,1234.0,1234.0,Ex,1234.0,0.0,1234.0,0,2,0,3,Gd,7,0,NA,Attchd,2007.0,RFn,2,484.0,0.0,30.0,NA,1,2008,Normal,179900
34,20,RL,70.0,10552.0,IR1,Inside,NAmes,1Fam,1Story,5,5,1959.0,1959,Hip,BrkFace,BrkFace,NA,0.0,TA,CBlock,TA,No,Rec,1018.0,380.0,1398.0,Gd,1700.0,0.0,1700.0,0,1,1,4,Gd,6,1,Gd,Attchd,1959.0,RFn,2,447.0,0.0,38.0,NA,4,2010,Normal,165500
35,120,RL,60.0,7313.0,Reg,Inside,NridgHt,TwnhsE,1Story,9,5,2005.0,2005,Hip,MetalSd,MetalSd,BrkFace,246.0,Ex,PConc,Ex,No,GLQ,1153.0,408.0,1561.0,Ex,1561.0,0.0,1561.0,1,2,0,2,Ex,6,1,Gd,Attchd,2005.0,Fin,2,556.0,203.0,47.0,NA,8,2007,Normal,277500
36,60,RL,108.0,13418.0,Reg,Inside,NridgHt,1Fam,2Story,8,5,2004.0,2005,Gable,VinylSd,VinylSd,Stone,132.0,Gd,PConc,Ex,Av,Unf,0.0,1117.0,1117.0,Ex,1132.0,1320.0,2452.0,0,3,1,4,Gd,9,1,Gd,BuiltIn,2004.0,Fin,3,691.0,113.0,32.0,NA,9,2006,Normal,309000
37,20,RL,112.0,10859.0,Reg,Corner,CollgCr,1Fam,1Story,5,5,1994.0,1995,Gable,VinylSd,VinylSd,NA,0.0,TA,PConc,Gd,No,Unf,0.0,1097.0,1097.0,Ex,1097.0,0.0,1097.0,0,1,1,3,TA,6,0,NA,Attchd,1995.0,Unf,2,672.0,392.0,64.0,NA,6,2009,Normal,145000
38,20,RL,74.0,8532.0,Reg,Inside,NAmes,1Fam,1Story,5,6,1954.0,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,CBlock,TA,No,Rec,1213.0,84.0,1297.0,Gd,1297.0,0.0,1297.0,0,1,0,3,TA,5,1,TA,Attchd,1954.0,Fin,2,498.0,0.0,0.0,NA,10,2009,Normal,153000
39,20,RL,68.0,7922.0,Reg,Inside,NAmes,1Fam,1Story,5,7,1953.0,2007,Gable,VinylSd,VinylSd,NA,0.0,TA,CBlock,TA,No,GLQ,731.0,326.0,1057.0,TA,1057.0,0.0,1057.0,1,1,0,3,Gd,5,0,NA,Detchd,1953.0,Unf,1,246.0,0.0,52.0,NA,1,2010,Abnorml,109000
40,90,RL,65.0,6040.0,Reg,Inside,Edwards,Duplex,1Story,4,5,1955.0,1955,Gable,AsbShng,Plywood,NA,0.0,TA,PConc,NA,NA,NA,0.0,0.0,0.0,TA,1152.0,0.0,1152.0,0,2,0,2,Fa,6,0,NA,NA,NA,NA,0,0.0,0.0,0.0,NA,6,2008,Otro,82000
41,20,RL,84.0,8658.0,Reg,Inside,NAmes,1Fam,1Story,6,5,1965.0,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,CBlock,TA,No,Rec,643.0,445.0,1088.0,Ex,1324.0,0.0,1324.0,0,2,0,3,TA,6,1,TA,Attchd,1965.0,RFn,2,440.0,0.0,138.0,GdWo,12,2006,Abnorml,160000
42,20,RL,115.0,16905.0,Reg,Inside,Timber,1Fam,1Story,5,6,1959.0,1959,Gable,VinylSd,VinylSd,NA,0.0,TA,CBlock,TA,Gd,BLQ,967.0,383.0,1350.0,Gd,1328.0,0.0,1328.0,0,1,1,2,TA,5,2,Gd,Attchd,1959.0,RFn,1,308.0,0.0,104.0,NA,7,2007,Normal,170000
43,85,RL,NA,9180.0,IR1,CulDSac,SawyerW,1Fam,SFoyer,5,7,1983.0,1983,Gable,HdBoard,HdBoard,NA,0.0,TA,CBlock,Gd,Av,ALQ,747.0,0.0,840.0,Gd,884.0,0.0,884.0,1,1,0,2,Gd,5,0,NA,Attchd,1983.0,RFn,2,504.0,240.0,0.0,MnPrv,12,2007,Normal,144000
44,20,RL,NA,9200.0,IR1,CulDSac,CollgCr,1Fam,1Story,5,6,1975.0,1980,Hip,VinylSd,VinylSd,NA,0.0,TA,CBlock,Gd,Av,LwQ,280.0,167.0,938.0,TA,938.0,0.0,938.0,1,1,0,3,TA,5,0,NA,Detchd,1977.0,Unf,1,308.0,145.0,0.0,MnPrv,7,2008,Normal,130250
45,20,RL,70.0,7945.0,Reg,Inside,NAmes,1Fam,1Story,5,6,1959.0,1959,Gable,BrkFace,Wd Sdng,NA,0.0,TA,CBlock,TA,No,ALQ,179.0,465.0,1150.0,Ex,1150.0,0.0,1150.0,1,1,0,3,TA,6,0,NA,Attchd,1959.0,RFn,1,300.0,0.0,0.0,NA,5,2006,Normal,141000
46,120,RL,61.0,7658.0,Reg,Inside,NridgHt,TwnhsE,1Story,9,5,2005.0,2005,Hip,MetalSd,MetalSd,BrkFace,412.0,Ex,PConc,Ex,No,GLQ,456.0,1296.0,1752.0,Ex,1752.0,0.0,1752.0,1,2,0,2,Ex,6,1,Gd,Attchd,2005.0,RFn,2,576.0,196.0,82.0,NA,2,2010,Normal,319900
47,50,RL,48.0,12822.0,IR1,CulDSac,Mitchel,1Fam,1.5Fin,7,5,2003.0,2003,Gable,VinylSd,VinylSd,NA,0.0,Gd,PConc,Ex,No,GLQ,1351.0,83.0,1434.0,Ex,1518.0,631.0,2149.0,1,1,1,1,Gd,6,1,Ex,Attchd,2003.0,RFn,2,670.0,168.0,43.0,NA,8,2009,Abnorml,239686
48,20,FV,84.0,11096.0,Reg,Inside,Somerst,1Fam,1Story,8,5,2006.0,2006,Gable,VinylSd,VinylSd,NA,0.0,Gd,PConc,Gd,Av,GLQ,24.0,1632.0,1656.0,Ex,1656.0,0.0,1656.0,0,2,0,3,Gd,7,0,NA,Attchd,2006.0,RFn,3,826.0,0.0,146.0,NA,7,2007,Normal,249700
49,190,RM,33.0,4456.0,Reg,Inside,OldTown,2fmCon,2Story,4,5,1920.0,2008,Gable,MetalSd,MetalSd,NA,0.0,TA,BrkTil,TA,No,Unf,0.0,736.0,736.0,Gd,736.0,716.0,1452.0,0,2,0,2,TA,8,0,NA,NA,NA,NA,0,0.0,0.0,0.0,NA,6,2009,Partial,113000
50,20,RL,66.0,7742.0,Reg,Inside,Sawyer,1Fam,1Story,5,7,1966.0,1966,Gable,HdBoard,HdBoard,NA,0.0,TA,CBlock,TA,No,BLQ,763.0,192.0,955.0,Ex,955.0,0.0,955.0,1,1,0,3,TA,6,0,NA,Attchd,1966.0,Unf,1,386.0,0.0,0.0,MnPrv,1,2007,Normal,127000
51,60,RL,NA,13869.0,IR2,Corner,Gilbert,1Fam,2Story,6,6,1997.0,1997,Gable,VinylSd,VinylSd,NA,0.0,TA,PConc,Gd,Av,GLQ,182.0,612.0,794.0,Gd,794.0,676.0,1470.0,0,2,0,3,TA,6,0,NA,Attchd,1997.0,Fin,2,388.0,0.0,75.0,NA,7,2007,Normal,177000
52,50,RM,52.0,6240.0,Reg,Inside,BrkSide,1Fam,1.5Fin,6,6,1934.0,1950,Gable,Wd Sdng,Wd Sdng,NA,0.0,TA,PConc,TA,No,Unf,0.0,816.0,816.0,TA,816.0,0.0,1176.0,0,1,0,3,TA,6,1,Gd,Detchd,1985.0,Unf,2,528.0,112.0,0.0,MnPrv,9,2006,Normal,114500
53,90,RM,110.0,8472.0,IR2,Corner,IDOTRR,Duplex,1Story,5,5,1963.0,1963,Gable,Wd Sdng,Wd Sdng,NA,0.0,Otro,CBlock,Gd,Gd,LwQ,104.0,0.0,816.0,TA,816.0,0.0,816.0,1,1,0,2,TA,5,0,NA,Otro,1963.0,Unf,2,516.0,106.0,0.0,NA,5,2010,Normal,110000
54,20,RL,68.0,36937.732400000175,IR1,Inside,Otro,1Fam,1Story,9,5,1981.0,1987,Gable,WdShing,Wd Shng,NA,0.0,Gd,CBlock,Ex,Gd,GLQ,1572.1681,32.0,1842.0,Gd,1842.0,0.0,1842.0,2,1,1,1,Gd,5,1,Gd,Attchd,1981.0,Fin,3,894.0,504.0086000000004,72.0,NA,11,2006,Normal,385000
55,80,RL,60.0,7134.0,Reg,Inside,NAmes,1Fam,SLvl,5,5,1955.0,1955,Gable,MetalSd,MetalSd,NA,0.0,TA,CBlock,TA,No,ALQ,384.0,0.0,384.0,TA,1360.0,0.0,1360.0,0,1,0,3,TA,6,1,TA,Detchd,1962.0,Unf,2,572.0,0.0,50.0,MnPrv,2,2007,Normal,130000
56,20,RL,100.0,10175.0,IR1,Inside,NAmes,1Fam,1Story,6,5,1964.0,1964,Gable,HdBoard,Plywood,BrkFace,272.0,TA,CBlock,TA,No,BLQ,490.0,935.0,1425.0,Gd,1425.0,0.0,1425.0,0,2,0,3,TA,7,1,Gd,Attchd,1964.0,RFn,2,576.0,0.0,0.0,NA,7,2008,Normal,180500
57,160,FV,24.0,2645.0,Reg,Inside,Somerst,Twnhs,2Story,8,5,1999.0,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,Gd,PConc,Gd,No,GLQ,649.0,321.0,970.0,Ex,983.0,756.0,1739.0,1,2,1,3,Gd,7,0,NA,Attchd,1999.0,Fin,2,480.0,115.0,0.0,NA,8,2009,Abnorml,172500
58,60,RL,89.0,11645.0,IR1,Corner,CollgCr,1Fam,2Story,7,5,2004.0,2004,Gable,VinylSd,VinylSd,NA,0.0,Gd,PConc,Gd,No,Unf,0.0,860.0,860.0,Ex,860.0,860.0,1720.0,0,2,1,3,Gd,7,0,NA,Attchd,2004.0,RFn,2,565.0,0.0,70.0,NA,8,2006,Normal,196500
59,60,RL,66.0,13682.0,IR2,CulDSac,StoneBr,1Fam,2Story,10,5,2006.0,2006,Hip,VinylSd,VinylSd,BrkFace,789.9208000000001,Ex,PConc,Ex,Gd,Unf,0.0,1410.0,1410.0,Ex,1426.0,1416.017200000001,2945.0,0,3,1,3,Gd,10,1,Gd,BuiltIn,2006.0,Fin,3,641.0,192.0,0.0,NA,10,2006,Partial,438780
60,20,RL,60.0,7200.0,Reg,Inside,CollgCr,1Fam,1Story,5,7,1972.0,1972,Gable,HdBoard,HdBoard,NA,0.0,TA,CBlock,TA,Av,ALQ,632.0,148.0,780.0,Ex,780.0,0.0,780.0,0,1,0,2,TA,4,0,NA,Detchd,1973.0,Unf,1,352.0,196.0,0.0,MnPrv,1,2008,Normal,124900
61,20,RL,63.0,13072.0,Reg,Inside,SawyerW,1Fam,1Story,6,5,2004.0,2004,Gable,VinylSd,VinylSd,NA,0.0,TA,PConc,Gd,No,ALQ,941.0,217.0,1158.0,Ex,1158.0,0.0,1158.0,1,1,1,3,Gd,5,0,NA,Detchd,2006.0,Unf,2,576.0,0.0,50.0,NA,5,2006,Partial,158000
62,75,RM,60.0,7200.0,Reg,Inside,IDOTRR,1Fam,Otro,5,7,1920.0,1996,Gable,MetalSd,MetalSd,NA,0.0,TA,BrkTil,TA,No,Unf,0.0,530.0,530.0,TA,581.0,530.0,1111.0,0,1,0,3,Fa,6,0,NA,Detchd,1935.0,Unf,1,288.0,0.0,0.0,NA,3,2007,Normal,101000
63,120,RL,44.0,6442.0,IR1,Inside,NridgHt,TwnhsE,1Story,8,5,2006.0,2006,Gable,VinylSd,VinylSd,Stone,178.0,Gd,PConc,Gd,Mn,GLQ,24.0,1346.0,1370.0,Ex,1370.0,0.0,1370.0,0,2,0,2,Gd,6,1,Gd,Attchd,2006.0,RFn,2,484.0,120.0,49.0,NA,10,2007,Normal,202500
64,70,RM,50.0,10300.0,IR1,Inside,OldTown,1Fam,2Story,7,6,1921.0,1950,Gable,Stucco,Stucco,NA,0.0,TA,BrkTil,TA,No,Unf,0.0,576.0,576.0,Gd,902.0,808.0,1710.0,0,2,0,3,TA,9,0,NA,Detchd,1990.0,Unf,2,480.0,12.0,11.0,GdPrv,4,2010,Normal,140000
65,60,RL,NA,9375.0,Reg,Inside,CollgCr,1Fam,2Story,7,5,1997.0,1998,Gable,VinylSd,VinylSd,BrkFace,573.0,TA,PConc,Gd,No,GLQ,739.0,318.0,1057.0,Ex,1057.0,977.0,2034.0,1,2,1,3,Gd,8,0,NA,Attchd,1998.0,RFn,2,645.0,504.0086000000004,36.0,GdPrv,2,2009,Normal,219500
66,60,RL,76.0,9591.0,Reg,Inside,NridgHt,1Fam,2Story,8,5,2004.0,2005,Gable,VinylSd,VinylSd,BrkFace,344.0,Gd,PConc,Ex,Av,Unf,0.0,1143.0,1143.0,Ex,1143.0,1330.0,2473.0,0,2,1,4,Gd,9,1,Gd,BuiltIn,2004.0,RFn,3,852.0,192.0,151.0,NA,10,2007,Normal,317000
67,20,RL,NA,19900.0,Reg,Inside,NAmes,1Fam,1Story,7,5,1970.0,1989,Gable,Plywood,Plywood,BrkFace,287.0,TA,CBlock,Gd,Gd,GLQ,912.0,1035.0,1947.0,TA,2207.0,0.0,2207.0,1,2,0,3,TA,7,1,Gd,Attchd,1970.0,RFn,2,576.0,301.0,0.0,NA,7,2010,Normal,180000
68,20,RL,72.0,10665.0,IR1,Inside,CollgCr,1Fam,1Story,7,5,2003.0,2003,Gable,VinylSd,VinylSd,BrkFace,167.0,Gd,PConc,Gd,Av,GLQ,1013.0,440.0,1453.0,Ex,1479.0,0.0,1479.0,1,2,0,3,Gd,7,0,NA,Attchd,2003.0,RFn,2,558.0,144.0,29.0,NA,6,2007,Normal,226000
69,30,RM,47.0,4608.0,Reg,Corner,OldTown,1Fam,1Story,4,6,1945.0,1950,Gable,MetalSd,MetalSd,NA,0.0,TA,CBlock,TA,No,Unf,0.0,747.0,747.0,TA,747.0,0.0,747.0,0,1,0,2,TA,4,0,NA,Attchd,1945.0,Unf,1,220.0,0.0,0.0,NA,6,2010,Normal,80000
70,50,RL,81.0,15593.0,Reg,Corner,ClearCr,1Fam,1.5Fin,7,4,1953.0,1953,Gable,BrkFace,AsbShng,NA,0.0,Gd,CBlock,TA,No,BLQ,603.0,701.0,1304.0,TA,1304.0,983.0,2287.0,0,2,0,3,TA,7,1,TA,Attchd,1953.0,Fin,2,667.0,0.0,21.0,NA,7,2006,Normal,225000
